customer_id,name,email,city,signup_date
CUST1000,Aaron Jones,burnslisa@hotmail.com,West Joyceshire,2024-08-25
CUST1001,Kent Good,williamlewis@hotmail.com,Kerrville,2023-10-24
CUST1002,Scott Lucas,enicholson@hotmail.com,Kennedyton,2025-05-11
CUST1003,Miguel Mendoza,roblescheryl@grant-peterson.com,North Shanechester,2023-12-05
CUST1004,Stanley Goodwin,amejia@vasquez.com,Millerburgh,2024-05-29
CUST1005,Justin Neal,qnelson@jackson-smith.com,North Coryburgh,2025-05-16
CUST1006,Kenneth Schaefer,fvargas@steele-hughes.info,New Samuel,2023-07-01
CUST1007,Amber Bailey,djones@crawford.com,West Erikville,2024-11-29
CUST1008,Christy Gonzalez,amy24@gmail.com,Jeanettetown,2025-03-24
CUST1009,Michael Simpson,michael14@everett-chavez.com,Carterhaven,2024-12-11
CUST1010,Jean Allen,tylermckee@decker-hayes.com,North Brad,2024-07-19
CUST1011,George Mercado,alewis@gmail.com,Solismouth,2023-09-29
CUST1012,Andrea Smith,cfarley@arias.com,Reedmouth,2025-02-23
CUST1013,Matthew Schultz,veronica06@thomas.com,Parkertown,2025-06-18
CUST1014,Michael George,kaitlynwade@yahoo.com,Mathisfort,2024-12-05
CUST1015,Catherine Hall,nicoleshaw@gmail.com,Danielview,2025-04-11
CUST1016,Nichole Duke,parkstephanie@rivera.com,Jameschester,2025-01-04
CUST1017,Michael Barnes,hrobinson@oliver-richards.com,New Jose,2024-10-13
CUST1018,David Hudson,oreynolds@gmail.com,Dawnfurt,2024-02-13
CUST1019,Barbara Walker,makaylawilliamson@yahoo.com,New Alexborough,2023-11-10
CUST1020,Eric Martinez,amandaarmstrong@yahoo.com,South Brittany,2024-03-08
CUST1021,Jonathan Middleton,stanleypeter@howard.biz,Lake Deborahton,2023-10-29
CUST1022,James Rasmussen,moorerebecca@smith.net,Jordanmouth,2024-11-18
CUST1023,Melinda Snow,meghancooper@watson.com,Port Ryan,2024-03-28
CUST1024,Michael Pope,jenniferrivas@wright.biz,East Joshua,2023-07-19
CUST1025,Tyler Anderson,justin46@griffin.com,Lake Arthur,2023-07-22
CUST1026,Clarence Marshall,jthompson@clark.info,Lake Angela,2024-01-24
CUST1027,Jessica Mann,shannontina@cowan-lane.com,Tracyborough,2023-07-20
CUST1028,Mr. Steven Soto,juan74@hotmail.com,East Robert,2024-09-20
CUST1029,Kayla Mitchell,tsavage@yahoo.com,South Adamville,2024-05-13
CUST1030,Nicole Jensen,jason66@navarro-dyer.org,Gardnerchester,2024-10-04
CUST1031,Brian Velasquez,danielrowland@hotmail.com,Jillland,2023-11-20
